Iteration,Cost
1,0.19140625
2,1.876953125
3,1.8837890625
4,1.8876953125
5,1.3154296875
6,1.3818359375
7,1.517578125
8,1.9716796875
9,1.9931640625
10,1.990234375
11,1.8857421875
12,1.9970703125
13,1.87890625
14,1.9970703125
15,1.982421875
16,1.9794921875
17,1.986328125
18,1.99609375
19,1.9970703125
20,1.9921875
21,2.0
22,1.99609375
23,1.9990234375
24,2.0
25,1.9912109375
26,2.0
27,1.998046875
28,2.0
29,1.998046875
30,2.0
31,2.0
32,1.998046875
33,1.9990234375
34,1.99609375
35,1.9951171875
36,1.998046875
37,1.9970703125
38,1.994140625
39,1.9990234375
40,1.998046875
41,1.998046875
42,2.0
43,1.99609375
44,1.998046875
45,1.9970703125
46,1.998046875
47,1.994140625
48,1.998046875
49,1.9990234375
50,1.9990234375
51,1.9970703125
